Trend,SQZMOM 1 Momentum,SQZMOM 1 Squeeze,SQZMOM 2 Momentum,SQZMOM 2 Squeeze,Bar 1,Bar 2,Raw Position,Final Position,Score,match_count,p_reach_1.61_UP,p_reach_1.61_DOWN,p_reach_2.5_UP,p_reach_2.5_DOWN,p_reach_3.6_UP,p_reach_3.6_DOWN,p_cont_UP_1.61_TO_2.5,p_cont_UP_2.5_TO_3.6,p_cont_UP_1.61_TO_3.6,p_cont_DOWN_1.61_TO_2.5,p_cont_DOWN_2.5_TO_3.6,p_cont_DOWN_1.61_TO_3.6
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 2,LONG,LONG,6,22,0.8181818181818182,0.8636363636363636,0.8181818181818182,0.7727272727272727,0.8181818181818182,0.6363636363636364,0.95,0.95,0.95,0.8571428571428571,0.7894736842105263,0.7142857142857143
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 2,Red Bar Line 6,SHORT,SHORT,-6,22,1.0,0.8181818181818182,0.9090909090909091,0.7272727272727273,0.8636363636363636,0.7272727272727273,0.875,0.9090909090909091,0.8333333333333334,0.85,0.9444444444444444,0.85
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 5,Red Bar Line 6,SHORT,SHORT,-6,22,0.7272727272727273,0.9090909090909091,0.6818181818181818,0.7727272727272727,0.5909090909090909,0.7272727272727273,0.8888888888888888,0.8235294117647058,0.7777777777777778,0.8181818181818182,0.8947368421052632,0.7727272727272727
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 3,LONG,LONG,6,21,0.9523809523809523,0.8095238095238095,0.7619047619047619,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7727272727272727,0.8888888888888888,0.7272727272727273,0.8421052631578947,0.7647058823529411,0.6842105263157895
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 5,SHORT,SHORT,-6,20,0.95,0.7,0.85,0.65,0.75,0.55,0.8571428571428571,0.8421052631578947,0.7619047619047619,0.875,0.8,0.75
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 1,Green Bar Line 6,LONG,LONG,6,20,1.0,0.95,1.0,0.95,0.95,0.9,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9523809523809523,0.9047619047619048,0.9047619047619048
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 6,LONG,LONG,4,20,0.7,1.0,0.55,0.9,0.4,0.85,0.75,0.6923076923076923,0.5625,0.8636363636363636,0.9,0.8181818181818182
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 3,Green Bar Line 5,LONG,LONG,6,20,1.0,0.95,1.0,0.9,0.9,0.85,0.9545454545454546,0.8636363636363636,0.8636363636363636,0.9047619047619048,0.9,0.8571428571428571
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 2,Green Bar Line 6,LONG,LONG,6,20,1.0,0.95,0.95,0.95,0.9,0.95,0.9090909090909091,0.9047619047619048,0.8636363636363636,0.9523809523809523,0.9523809523809523,0.9523809523809523
Short,maroon,Squeeze OFF (gray),maroon,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 6,SHORT,SHORT,-4,20,0.95,0.9,0.95,0.7,0.8,0.65,0.9523809523809523,0.8095238095238095,0.8095238095238095,0.75,0.875,0.7
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 6,LONG,LONG,6,19,0.8421052631578947,0.8947368421052632,0.6842105263157895,0.8421052631578947,0.5789473684210527,0.7894736842105263,0.7777777777777778,0.8,0.6666666666666666,0.8947368421052632,0.8888888888888888,0.8421052631578947
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 1,LONG,LONG,6,19,0.8947368421052632,0.7894736842105263,0.7894736842105263,0.631578947368421,0.7894736842105263,0.5263157894736842,0.8421052631578947,0.9411764705882353,0.8421052631578947,0.7647058823529411,0.7857142857142857,0.6470588235294118
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 6,SHORT,SHORT,-6,19,0.8947368421052632,0.8947368421052632,0.7894736842105263,0.8421052631578947,0.631578947368421,0.631578947368421,0.8421052631578947,0.7647058823529411,0.6842105263157895,0.8947368421052632,0.7222222222222222,0.6842105263157895
